Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Constituent_S&P 500,Constituent_S&P MidCap 400,Constituent_S&P SmallCap 600
2017-02-02,62.041416,62.803314,62.033794,62.742363,6240757.0,390834720.0,82.35,0.0,0,0,0
2017-02-03,63.20712,63.412834,62.82617,63.08522,5466788.0,344807300.0,82.8,0.0,0,0,0
2017-02-06,63.161407,63.28331,62.848267,62.978554,3918925.0,246915100.0,82.66,0.0,0,0,0
2017-02-07,63.031887,63.260452,62.654743,62.757603,4266522.5,268499500.0,82.37,0.0,0,0,0
2017-02-08,62.94808,63.389973,62.70427,63.25283,4353320.0,274984700.0,83.02,0.0,0,0,0
2017-02-09,63.2376,63.527115,63.176643,63.405216,3684203.5,233446420.0,83.22,0.0,0,0,0
2017-02-10,63.38236,63.89283,63.260452,63.854733,3916294.5,249439890.0,83.81,0.0,0,0,0
2017-02-13,63.908066,64.15187,63.527115,63.87759,5208257.5,332618720.0,83.84,0.0,0,0,0
2017-02-14,63.725212,63.76331,63.047123,63.54236,3528107.8,223760110.0,83.4,0.0,0,0,0
2017-02-15,63.146168,63.42807,62.73474,63.329025,4839589.0,305400930.0,83.12,0.0,0,0,0
2017-02-16,63.397594,64.12902,63.329025,63.702354,4065914.2,259166910.0,83.61,0.0,0,0,0
2017-02-17,63.854733,63.923306,63.29017,63.824257,3444289.8,218987400.0,83.77,0.0,0,0,0
2017-02-21,63.755688,64.70806,63.67188,64.63949,7411331.0,476676130.0,84.84,0.0,0,0,0
2017-02-22,64.73092,64.951866,64.09854,64.426155,4547066.0,292810050.0,84.56,0.0,0,0,0
2017-02-23,64.601395,64.81473,64.167114,64.76139,4503106.0,290583070.0,85.0,0.0,0,0,0
2017-02-24,64.74616,65.08901,64.39568,65.066154,4813549.0,311922500.0,85.4,0.0,0,0,0
2017-02-27,65.05853,65.6452,65.0052,65.409004,4366283.5,285536060.0,85.85,0.0,0,0,0
2017-02-28,65.409004,65.409004,64.807106,64.95949,7583793.5,493291700.0,85.26,0.0,0,0,0
2017-03-01,64.76139,65.13472,64.53282,64.76139,8246212.5,534637470.0,85.0,0.0,0,0,0
2017-03-02,64.66997,64.7233,64.18997,64.41092,4016855.2,258754750.0,84.54,0.0,0,0,0
2017-03-03,64.35759,64.41854,63.50426,64.15949,5483318.0,350597860.0,84.21,0.0,0,0,0
2017-03-06,64.045204,64.07568,63.565212,63.869972,4249564.5,271055970.0,83.83,0.0,0,0,0
2017-03-07,63.732834,63.839497,63.260452,63.565212,6113719.0,388381380.0,83.43,0.0,0,0,0
2017-03-08,63.191883,63.268074,62.346176,62.391888,6318587.5,395996350.0,81.89,0.0,0,0,0
2017-03-09,62.26999,62.64332,61.317616,61.454758,7355637.5,454967680.0,80.66,0.0,0,0,0
2017-03-10,61.94237,62.254745,60.936665,61.264282,8240988.5,504946050.0,80.41,0.0,0,0,0
2017-03-13,61.33285,61.797607,61.210945,61.41666,6157205.0,378120740.0,80.61,0.0,0,0,0
